,src,dst
9748,146,50
9749,146,56
9750,146,63
9751,146,99
9752,146,106
9753,146,146
9754,146,147
9755,146,149
9756,146,158
9757,146,175
9758,146,192
9759,146,195
9760,146,206
9761,146,285
9762,146,333
9763,146,336
9764,146,406
9765,146,422
9766,146,446
9920,147,1
9921,147,10
9922,147,50
9923,147,55
9924,147,56
9925,147,65
9926,147,83
9927,147,94
9928,147,97
9929,147,99
9930,147,106
9931,147,146
9932,147,147
9933,147,148
9934,147,149
9935,147,158
9936,147,171
9937,147,175
9938,147,184
9939,147,192
9940,147,195
9941,147,206
9942,147,211
9943,147,238
9944,147,285
9945,147,314
9946,147,333
9947,147,336
9948,147,406
9949,147,422
9950,147,425
10558,148,147
10559,148,158
10560,148,195
10561,148,406
10562,148,422
10565,149,1
10566,149,50
10567,149,106
10568,149,146
10569,149,147
10570,149,149
10571,149,158
10572,149,171
10573,149,175
10574,149,182
10575,149,184
10576,149,195
10577,149,206
10578,149,252
10579,149,285
10580,149,314
10581,149,336
10582,149,406
10583,149,467
10584,149,493
10819,150,151
10820,151,151
10839,152,10
10840,152,175
10841,152,176
10843,153,154
10844,155,104
10845,155,134
10846,155,135
10847,155,136
10848,155,137
10849,155,138
10854,156,157
10855,158,1
10856,158,50
10857,158,56
10858,158,99
10859,158,106
10860,158,146
10861,158,147
10862,158,148
10863,158,149
10864,158,158
10865,158,175
10866,158,184
10867,158,192
10868,158,195
10869,158,206
10870,158,252
10871,158,285
10872,158,301
10873,158,314
10874,158,333
10875,158,336
10876,158,406
10877,158,422
10878,158,425
10879,158,467
11318,159,160
11319,160,160
11320,160,314
11332,162,163
11333,162,187
11335,163,104
11336,163,287
11350,164,143
11351,165,143
11352,166,167
11353,167,86
11354,167,166
11355,167,167
11356,167,186
11357,167,217
11358,167,240
11359,167,263
11360,167,299
11361,167,301
11362,167,314
11363,167,350
11364,167,372
11365,167,392
11366,167,397
11367,167,435
11368,167,452
11369,167,457
11370,167,459
11371,167,467
11372,167,468
11648,168,169
11649,170,171
11650,171,1
11651,171,5
11652,171,10
11653,171,65
11654,171,66
11655,171,147
11656,171,149
11657,171,171
11658,171,175
11659,171,184
11660,171,330
11661,171,467
11746,172,173
11747,174,173
11748,175,1
11749,175,3
11750,175,10
11751,175,30
11752,175,34
11753,175,35
11754,175,41
11755,175,52
11756,175,56
11757,175,68
11758,175,79
11759,175,97
11760,175,106
11761,175,107
11762,175,134
11763,175,146
11764,175,147
11765,175,149
11766,175,158
11767,175,171
11768,175,175
11769,175,178
11770,175,192
11771,175,195
11772,175,198
11773,175,200
11774,175,206
11775,175,211
11776,175,212
11777,175,233
11778,175,275
11779,175,277
11780,175,285
11781,175,287
11782,175,309
11783,175,310
11784,175,313
11785,175,328
11786,175,336
11787,175,346
11788,175,387
11789,175,406
11790,175,422
11791,175,446
11792,175,447
11793,175,485
11996,177,178
11997,177,289
11998,177,290
11999,178,20
12000,178,68
12001,178,175
12002,178,178
12003,178,366
12004,178,387
12005,178,434
12006,178,435
12007,178,439
12008,178,447
12215,179,180
12216,181,160
12217,181,182
12218,181,188
12220,182,10
12221,182,20
12222,182,22
12223,182,192
12224,182,240
12225,182,256
12226,182,259
12227,182,264
12228,182,301
12229,182,302
12230,182,314
12231,182,327
12232,182,336
12233,182,366
12234,182,397
12235,182,406
12236,182,417
12237,182,438
12238,182,440
12239,182,441
12240,182,452
12241,182,467
12330,183,184
12331,184,1
12332,184,147
12333,184,149
12334,184,158
12335,184,184
12336,184,206
12337,184,336
12360,185,186
12364,186,10
12365,186,65
12366,186,68
12367,186,97
12368,186,167
12369,186,182
12370,186,185
12371,186,186
12372,186,192
12373,186,207
12374,186,217
12375,186,240
12376,186,248
12377,186,264
12378,186,290
12379,186,292
12380,186,301
12381,186,332
12382,186,360
12383,186,366
12384,186,392
12385,186,406
12386,186,431
12387,186,433
12388,186,442
12389,186,467
12390,186,479
12556,187,8
12557,187,162
12558,187,313
12608,189,190
12609,191,192
12610,192,10
12611,192,22
12612,192,50
12613,192,55
12614,192,56
12615,192,63
12616,192,65
12617,192,68
12618,192,79
12619,192,83
12620,192,97
12621,192,99
12622,192,109
12623,192,146
12624,192,147
12625,192,158
12626,192,175
12627,192,182
12628,192,186
12629,192,192
12630,192,195
12631,192,202
12632,192,203
12633,192,206
12634,192,211
12635,192,240
12636,192,256
12637,192,283
12638,192,287
12639,192,289
12640,192,290
12641,192,301
12642,192,302
12643,192,314
12644,192,325
12645,192,333
12646,192,336
12647,192,337
12648,192,338
12649,192,366
12650,192,389
12651,192,406
12652,192,421
12653,192,422
12654,192,425
12655,192,435
12656,192,440
12657,192,452
12658,192,467
13464,193,52
13466,194,195
13467,195,1
13468,195,10
13469,195,44
13470,195,50
13471,195,56
13472,195,146
13473,195,147
13474,195,148
13475,195,149
13476,195,158
13477,195,175
13478,195,192
13479,195,195
13480,195,206
13481,195,285
13482,195,314
13483,195,336
13484,195,356
13485,195,406
13486,195,425
13487,195,440
13834,196,52
13838,197,52
13839,197,198
13840,199,81
13841,199,135
13842,199,137
13843,199,200
13844,199,215
13845,199,227
13846,199,230
13847,199,233
13848,199,289
13849,199,290
13850,199,304
13851,199,328
13852,199,372
13853,199,417
13854,199,431
13887,200,30
13888,200,104
13889,200,134
13890,200,135
13891,200,138
13892,200,175
13893,200,200
13894,200,215
13895,200,248
13896,200,364
13897,200,442
14062,201,160
14063,201,202
14064,201,203
14065,201,206
14066,202,10
14067,202,50
14068,202,63
14069,202,79
14070,202,192
14071,202,202
14072,202,203
14073,202,217
14074,202,251
14075,202,252
14076,202,275
14077,202,314
14078,202,333
14079,202,336
14080,202,356
14081,202,389
14082,202,406
14083,202,425
14084,202,440
14085,202,493
14413,203,63
14414,203,192
14415,203,202
14416,203,203
14417,203,251
14418,203,252
14419,203,275
14420,203,333
14421,203,425
14422,203,460
14423,203,465
14424,203,493
14714,204,205
14715,205,205
14716,206,1
14717,206,10
14718,206,146
14719,206,147
14720,206,149
14721,206,158
14722,206,175
14723,206,184
14724,206,206
14725,206,336
14726,206,406
14905,207,11
14906,207,20
14907,207,22
14908,207,65
14909,207,182
14910,207,186
14911,207,207
14912,207,259
14913,207,287
14914,207,299
14915,207,314
14916,207,326
14917,207,338
14918,207,347
14919,207,356
14920,207,392
14921,207,397
14922,207,424
14923,207,425
14924,207,433
14925,207,452
14926,207,457
15019,208,209
15020,209,192
15021,209,256
15022,209,314
15023,209,397
15024,209,440
15025,209,452
15026,209,457
15053,210,211
15054,211,175
15055,211,192
15056,211,211
15057,211,240
15058,211,327
15059,211,356
15060,211,440
15061,211,441
15226,212,52
15230,214,215
15231,215,81
15232,215,215
15233,215,373
15331,216,217
15332,217,187
15333,217,217
15334,218,219
15335,219,218
15336,219,219
15409,220,138
15412,221,222
15413,222,10
15414,222,19
15415,222,34
15416,222,35
15417,222,83
15418,222,187
15419,222,217
15420,222,222
15421,222,278
15422,222,283
15423,222,313
15424,222,379
15425,222,389
15426,222,404
15427,222,452
15428,222,455
15429,222,477
16004,223,224
16012,225,30
16013,225,104
16014,225,134
16015,225,135
16016,225,137
16017,225,211
16018,225,225
16019,225,226
16020,225,248
16021,225,288
16022,225,364
16023,225,431
16024,225,462
16129,226,225
16130,228,83
16131,229,81
16132,231,4
16133,231,5
16134,231,94
16138,232,3
16139,232,233
16140,232,347
16144,233,10
16145,233,41
16146,233,42
16147,233,134
16148,233,175
16149,233,233
16150,233,289
16151,233,290
16152,233,328
16153,233,372
16154,233,457
16239,234,235
16240,236,10
16241,236,236
16246,237,52
16247,237,175
16252,238,147
16253,238,333
16255,239,240
16256,240,34
16257,240,35
16258,240,49
16259,240,50
16260,240,68
16261,240,104
16262,240,120
16263,240,167
16264,240,182
16265,240,186
16266,240,192
16267,240,211
16268,240,217
16269,240,240
16270,240,248
16271,240,255
16272,240,261
16273,240,264
16274,240,289
16275,240,290
16276,240,301
16277,240,314
16278,240,332
16279,240,372
16280,240,387
16281,240,390
16282,240,392
16283,240,397
16284,240,406
16285,240,413
16286,240,435
16287,240,444
16288,240,452
16289,240,457
16290,240,467
16291,240,495
16900,241,83
16901,242,1
16902,242,20
16903,242,48
16904,242,63
16905,242,72
16906,242,81
16907,242,86
16908,242,107
16909,242,130
16910,242,135
16911,242,137
16912,242,146
16913,242,149
16914,242,151
16915,242,163
16916,242,182
16917,242,184
16918,242,192
16919,242,207
16920,242,209
16921,242,247
16922,242,250
16923,242,251
16924,242,252
16925,242,254
16926,242,256
16927,242,258
16928,242,259
16929,242,262
16930,242,264
16931,242,272
16932,242,273
16933,242,274
16934,242,275
16935,242,278
16936,242,280
16937,242,283
16938,242,289
16939,242,290
16940,242,299
16941,242,302
16942,242,305
16943,242,306
16944,242,307
16945,242,309
16946,242,310
16947,242,313
16948,242,314
16949,242,315
16950,242,326
16951,242,337
16952,242,338
16953,242,347
16954,242,352
16955,242,356
16956,242,406
16989,243,26
16990,243,59
16991,244,245
16992,246,30
16993,247,10
16994,247,247
16995,248,30
16996,248,104
16997,248,134
16998,248,248
16999,248,249
17000,248,314
17001,248,364
17002,248,450
17003,248,457
17029,249,248
17031,251,10
17032,251,63
17033,251,202
17034,251,203
17035,251,251
17036,251,252
17037,251,275
17038,251,316
17039,251,318
17040,251,425
17041,251,446
17042,251,457
17043,251,460
17044,251,464
17045,251,465
17046,251,493
17205,252,63
17206,252,65
17207,252,106
17208,252,147
17209,252,149
17210,252,158
17211,252,202
17212,252,203
17213,252,251
17214,252,252
17215,252,275
17216,252,314
17217,252,316
17218,252,318
17219,252,336
17220,252,406
17221,252,457
17222,252,465
17223,252,493
17492,253,254
17493,253,349
17501,254,104
17502,254,134
17503,254,254
17594,255,10
17595,255,22
17596,255,86
17597,255,186
17598,255,240
17599,255,255
17600,255,450
17652,256,11
17653,256,65
17654,256,86
17655,256,192
17656,256,209
17657,256,256
17658,256,259
17659,256,283
17660,256,299
17661,256,314
17662,256,333
17663,256,336
17664,256,349
17665,256,352
17666,256,360
17667,256,392
17668,256,439
17669,256,442
17670,256,444
17671,256,457
17672,256,497
17782,259,1
17783,259,11
17784,259,20
17785,259,126
17786,259,182
17787,259,207
17788,259,256
17789,259,259
17790,259,272
17791,259,314
17792,259,336
17793,259,356
17794,259,393
17795,259,397
17796,259,439
17797,259,440
17798,259,452
17799,259,457
17800,259,483
18010,260,261
18011,261,41
18012,261,68
18013,261,120
18014,261,240
18015,261,261
18016,261,301
18017,261,332
18018,261,333
18019,261,372
18020,261,373
18021,261,390
18022,261,446
18174,263,167
18175,264,104
18176,264,111
18177,264,182
18178,264,186
18179,264,192
18180,264,217
18181,264,240
18182,264,248
18183,264,264
18184,264,290
18185,264,292
18186,264,301
18187,264,314
18188,264,397
18189,264,440
18190,264,457
18191,264,467
18232,265,187
18233,266,267
18234,268,269
18235,269,269
18236,269,467
18330,270,271
18331,271,271
18332,272,259
18333,272,272
18334,272,290
18335,272,346
18336,272,447
18337,272,467
18466,273,273
18467,273,274
18468,273,446
18524,274,273
18525,274,274
18526,275,10
18527,275,175
18528,275,202
18529,275,203
18530,275,252
18531,275,275
18532,275,277
18533,275,279
18534,275,314
18535,275,360
18536,275,446
18537,275,493
18608,276,277
18609,276,279
18610,278,19
18611,278,34
18612,278,35
18613,278,54
18614,278,217
18615,278,222
18616,278,278
18617,278,313
18618,278,338
18619,278,379
18620,278,389
18621,278,425
18622,278,431
18623,278,455
18841,279,275
18842,279,277
18844,280,280
18851,281,282
18852,283,34
18853,283,35
18854,283,54
18855,283,192
18856,283,222
18857,283,256
18858,283,283
18859,283,313
18860,283,389
18861,283,397
18862,283,455
18987,284,285
18988,285,72
18989,285,99
18990,285,146
18991,285,158
18992,285,175
18993,285,195
18994,285,285
18995,285,336
18996,285,391
18997,285,392
18998,285,406
18999,285,422
19000,285,438
19104,286,287
19105,287,106
19106,287,140
19107,287,175
19108,287,207
19109,287,287
19110,287,301
19111,287,314
19112,287,326
19113,287,347
19114,287,349
19115,287,392
19116,287,433
19117,287,440
19118,287,446
19119,287,457
19315,288,225
19316,288,248
19317,288,450
19320,289,40
19321,289,41
19322,289,104
19323,289,192
19324,289,272
19325,289,289
19326,289,290
19327,289,304
19328,289,328
19329,289,372
19494,291,292
19495,292,5
19496,292,11
19497,292,15
19498,292,58
19499,292,107
19500,292,111
19501,292,186
19502,292,227
19503,292,256
19504,292,292
19505,292,314
19506,292,338
19507,292,349
19508,292,373
19509,292,397
19510,292,420
19511,292,441
19512,292,442
19513,292,446
19514,292,457
19515,292,461
19516,292,462
19517,292,487
19518,292,495
19748,293,294
19749,294,240
19750,294,328
19751,294,431
19794,295,296
19795,296,296
19796,296,314
19797,297,298
19798,298,41
19799,298,104
19800,298,135
19801,298,175
19802,298,240
19803,298,289
19804,298,290
19805,298,298
19806,298,417
19807,298,425
19808,298,446
19959,299,86
19960,299,167
19961,299,299
19962,299,314
19963,299,349
19964,299,356
19965,299,372
19966,299,397
19967,299,425
19968,299,452
19969,299,459
20110,300,301
20111,301,11
20112,301,34
20113,301,35
20114,301,37
20115,301,46
20116,301,68
20117,301,106
20118,301,126
20119,301,158
20120,301,167
20121,301,182
20122,301,186
20123,301,192
20124,301,217
20125,301,240
20126,301,261
20127,301,264
20128,301,287
20129,301,301
20130,301,302
20131,301,314
20132,301,372
20133,301,392
20134,301,397
20135,301,435
20136,301,444
20137,301,452
20138,301,457
20139,301,467
20140,301,468
20613,302,182
20614,302,192
20615,302,301
20616,302,302
20617,302,314
20618,302,433
20619,302,452
20620,302,457
20621,302,467
20650,303,207
20651,303,255
20653,304,40
20654,304,104
20655,304,135
20656,304,138
20657,304,289
20658,304,290
20659,304,304
20660,304,328
20661,304,372
20662,304,444
20663,304,446
20847,307,147
20848,307,306
20851,308,151
20852,308,309
20853,308,310
20854,309,10
20855,309,175
20856,309,309
20857,309,310
20858,309,483
20878,310,310
20879,311,312
20880,312,87
20881,312,104
20882,312,111
20883,312,182
20884,312,314
20885,312,358
20886,312,420
20887,312,457
20902,313,3
20903,313,10
20904,313,19
20905,313,34
20906,313,35
20907,313,83
20908,313,175
20909,313,217
20910,313,222
20911,313,278
20912,313,283
20913,313,313
20914,313,314
20915,313,379
20916,313,389
20917,313,392
20918,313,431
20919,313,446
20920,313,455
21145,314,3
21146,314,11
21147,314,20
21148,314,22
21149,314,34
21150,314,35
21151,314,56
21152,314,65
21153,314,68
21154,314,83
21155,314,86
21156,314,97
21157,314,106
21158,314,120
21159,314,140
21160,314,146
21161,314,149
21162,314,158
21163,314,160
21164,314,167
21165,314,182
21166,314,192
21167,314,195
21168,314,202
21169,314,207
21170,314,209
21171,314,240
21172,314,248
21173,314,252
21174,314,259
21175,314,264
21176,314,272
21177,314,275
21178,314,287
21179,314,292
21180,314,296
21181,314,299
21182,314,301
21183,314,302
21184,314,312
21185,314,314
21186,314,333
21187,314,336
21188,314,346
21189,314,349
21190,314,356
21191,314,372
21192,314,379
21193,314,392
21194,314,393
21195,314,397
21196,314,406
21197,314,417
21198,314,433
21199,314,435
21200,314,440
21201,314,441
21202,314,442
21203,314,447
21204,314,452
21205,314,455
21206,314,467
21207,314,479
21208,314,493
21209,314,495
21452,315,20
21453,315,178
21454,315,315
21455,315,346
21456,315,434
21457,315,447
21553,316,251
21554,316,252
21555,316,318
21560,317,318
21562,318,252
21563,318,314
21567,319,320
21568,321,320
21569,322,323
21570,324,323
21571,325,192
21572,325,202
21573,325,203
21574,325,333
21575,325,336
21576,325,422
21579,326,22
21580,326,68
21581,326,207
21582,326,287
21583,326,326
21584,326,347
21585,326,381
21586,326,390
21587,326,424
21588,326,433
21706,327,30
21707,327,97
21708,327,104
21709,327,134
21710,327,135
21711,327,182
21712,327,215
21713,327,217
21714,327,240
21715,327,248
21716,327,328
21717,327,372
21718,327,406
21719,327,435
21720,327,440
21721,327,457
21722,327,467
21753,328,10
21754,328,30
21755,328,97
21756,328,104
21757,328,134
21758,328,135
21759,328,136
21760,328,175
21761,328,200
21762,328,211
21763,328,233
21764,328,248
21765,328,289
21766,328,290
21767,328,294
21768,328,304
21769,328,327
21770,328,328
21771,328,364
21964,329,330
21965,330,5
21966,330,171
21967,330,330
21971,331,332
21972,332,68
21973,332,104
21974,332,120
21975,332,134
21976,332,240
21977,332,248
21978,332,261
21979,332,323
21980,332,331
21981,332,332
21982,332,372
21983,332,373
21984,332,390
21985,332,413
21986,332,431
21987,332,446
22140,333,1
22141,333,10
22142,333,11
22143,333,44
22144,333,50
22145,333,56
22146,333,99
22147,333,106
22148,333,146
22149,333,147
22150,333,158
